scene_id,scene_name,start_time,duration,background,camera_movement,camera_zoom,object_id,object_type,content,position_x,position_y,animation_type,animation_start,animation_duration,transition_out
1,Hook,0,5,#0b0f14,slow_push,1.1,title_main,text,"How Neural Networks Learn",960,420,fade_in,0,1.5,flash
1,Hook,0,5,#0b0f14,slow_push,1.1,title_main,text,"How Neural Networks Learn",960,420,scale,1.5,2,flash
1,Hook,0,5,#0b0f14,slow_push,1.1,subtitle,text,"From guesses to intelligence",960,560,fade_in,1,1,flash

2,Problem,5,5,#10151c,pan_left,1.0,question,text,"How does AI improve its answers?",960,180,slide_up,0,1,fade
2,Problem,5,5,#10151c,pan_left,1.0,network_diagram,diagram,"neural_network",960,580,draw,1,2.5,fade

3,Explanation,10,12,#121a24,smart_follow,1.2,input_nodes,diagram,"input_layer",450,540,fade_in,0,1,slide_left
3,Explanation,10,12,#121a24,smart_follow,1.2,hidden_nodes,diagram,"hidden_layer",960,540,fade_in,1,1,slide_left
3,Explanation,10,12,#121a24,smart_follow,1.2,output_nodes,diagram,"output_layer",1470,540,fade_in,2,1,slide_left
3,Explanation,10,12,#121a24,smart_follow,1.2,signal_flow,arrow_group,"signal_flow",960,540,flow,3,4,slide_left
3,Explanation,10,12,#121a24,smart_follow,1.2,explanation_text,text,"Weights adjust after every mistake.",960,180,fade_in,4,1,slide_left

4,Example,22,5,#0d1117,static,1.0,cat_image,image,"cat.png",600,540,slide_right,0,1,fade
4,Example,22,5,#0d1117,static,1.0,prediction_text,text,"Prediction: CAT",1350,540,fade_in,1,1,fade

5,Ending,27,3,#000000,static,1.3,ending_text,text,"And that's how AI learns.",960,500,fade_in,0,1,fade_to_black
5,Ending,27,3,#000000,static,1.3,logo,text,"AI VISUALS",960,700,glow,1,2,fade_to_black
